"Barógrafo [instrumento que registra continuamente, em um papel, a pressãoatmosférica; altígrafo; barometrógrafo],9";
"Barra de cereais sem sacarose, exceto para uso medicinal, terapêutico oudietético,30";
Barra dietética de cereais,5;
Barra dietética para suplementação nutricional, para fins medicinais,5;
Barra metálica para brasagem e para solda,6;
Barra para praticar exercício,28;
Barraca de camping,22;
Barraca de praia [guarda-sol],18;
Barreira rodoviária de metal,6;
Barreira rodoviária, exceto de metal,19;
Barrigueira [artigo de selaria],18;
Barrilha [carbonato de sódio] em bruto,1;
Basalto,19;
Basculante não metálico,19;
Basilicão [ungüento supurativo composto de cera, azeite, pez e resina],5;
Bastão com faca ou espeto embutido usado para marcar o gado a ferro em brasa,8;
Bastão para ginástica,28;
Bastão para marcar animal feito de substância não tóxica,8;
Bastidor para bordado,20;
Bate-estaca [máquina],7;
Batedeira agrícola [máquina],7;
Batedeira elétrica [aparelho],7;
Batedeira manual [de propulsão muscular],21;
Batedor de coquetel [utensílio manual],21;
Batedor de porta [aldrava],6;
Bateria [instrumento musical],15;
Bateria de anodo,9;
Bateria elétrica, termoelétrica, inclusive para veículo,9;
Batina,25;
Bazuca [arma],13;
Bebê conforto,20;
Bebedouro para animal,21;
Bebida em xarope,32;
Bebida energética alcoólica,33;
Bebida energética não alcoólica,32;
Bebida fermentada alcoólica,33;
Bebida fermentada não alcoólica,32;
Bebidas lácteas fermentadas,29;
Beca,25;
Bedame ou badame [formão],8;
Bem-casado,30;
Bengala para cego,10;
Bengala-espada [arma branca],8;
Benzoato de sódio para alimentos,1;
Berço para mata-borrão,16;
Berimbau,15;
Berinjela fresca,31;
Bermuda para prática de esporte,25;
Berrante,15;
Bertalha fresca,31;
Bexiga de ar de borracha para vulcanização de pneu,12;
Bico de clarinete,15;
Bico para almotolia [lubrificação],8;
Bilhete de papel ou de cartolina,16;
Bilro [peça para tecer renda],26;
Biquíni,25;
Bis Sunn [fibra],22;
Biscoiteira,21;
Biscoito amanteigado tipo “petit four”,30;
Biscoito para animal de estimação,31;
Blenda [minério de zinco],6;
Bloco de sal para animais,31;
Bloco e apara de cedro aromático para repelir traça e outros insetos,5;
Bloco para motor,7;
Bloqueador de automóveis [segurança],12;
Bloqueador dos órgãos hematopoiéticos [medicamento],5;
Bloqueador eletrônico de chamada,9;
Bloqueador neuromuscular [medicamento],5;
Blusa militar,25;
Bobina [eletricidade],9;
Bobina [parte de computador],9;
Bobina de papel e papelão,16;
Bobina gomada [para escritório],16;
Bobina para eletroímã, de indutância, de Ruhmkorff, para TSF,9;
Bobina para tear [parte de máquina],7;
Bocal de mangueira,17;
Bocal para aparelho de mergulho,9;
Bocal para charuto ou cigarro,34;
Bocal para fonte [metálico],6;
Bocal para instrumento musical,15;
Bocaxim [tarlatana] [entretela],26;
Boia para caixa d'água,19;
Bola de aço [esfera de aço],6;
Bola de boliche,28;
Bola de pingue-pongue,28;
Bola para aliviar o estresse [para exercitar as mãos],28;
Bolacha para chope [descanso para copo de cerveja],16;
Bolas para exercício de fisioterapia [uso terapêutico],10;
Boldo para infusão não medicinal,30;
Boleadeiras,18;
Boletim informativo,16;
Bolo de carne,29;
Bolo, preparado para consumo final, confeitado ou não,30;
Bolsa para nutrição parenteral,10;
Bolsa exclusiva para esqui,28;
Bolsa exclusiva para prancha de surfe,28;
"Bolsa para armazenamento de sangue contendo soluções anticoagulante epreservativa,10";
Bolsa para cosméticos [vazia],18;
Bolsa para raquete,28;
Bolsa para tênis,18;
Bolsa térmica para uso medicinal,10;
Bomba acionada por pressão ou eletricamente para bombeamento de cimento,7;
Bomba centrífuga,7;
Bomba centrífuga de fluxo,7;
Bomba com timer,7;
Bomba de água de veículos [peça acessória de motores],7;
Bomba de cobalto [médica],10;
Bomba de medição,9;
Bomba de oxigênio [médica],10;
Bomba de uso industrial,7;
Bomba de vapor [peça de máquina],7;
Bomba elétrica para o seio,10;
Bomba explosiva,13;
Bomba hidráulica,7;
Bomba injetora para veículo,7;
Bomba para aplicação de óleo e fluído,7;
Bomba para estômago,10;
Bomba para gás natural para uso em poço de petróleo,7;
Bomba para piscina,7;
Bomba para poço de petróleo,7;
Bomba pneumática de imersão,7;
Bombas d'água manuais [propulsão muscular],8;
Bombo [instrumento musical],15;
Boné,25;
Bonecas infláveis [acessórios de estimulação sexual],10;
Boneco para pugilismo ou futebol americano,28;
Bonecos para fins didáticos [material didático],16;
Bongô [instrumento musical],15;
Bonsai artificial,26;
Bonsai natural,31;
Borato [Bórax],1;
Borboleta [ferragem],6;
Borracha [liga, folha, tira, laminado, pó],17;
Borracha de freio para veículo terrestre,12;
Borracha para o aparelho dentário e para separar o dente,10;
Bota para operário,25;
Bote,12;
Boticão para dentista,10;
Botijão de gás, cheio, para uso doméstico,4;
Botijão de gás, metálico, vazio,6;
Botões em biscuit,26;
Braçadeira de borracha para cano,17;
Bracelete de qualquer material [joia ou bijuteria],14;
Braço acústico para aparelho de comunicação,9;
Braço acústico para fonógrafo,9;
Braço artificial,10;
Brandy [bebida],33;
Breque [freio] [parte de veículo],12;
Brete para animal,21;
Breu [pavimentação],19;
Brigadeiro,30;
Brilhante [diamante],14;
Brinco inseticida para animal,5;
Brinquedo de corda,28;
Brinquedo óptico [caleidoscópio],28;
Brinquedo para fazer bolha de sabão,28;
Brinquedo para montar,28;
Broca para dentista [aparelho],10;
Brocha [artigo para pintura],16;
Brócolis fresco,31;
Broto de bambu,31;
Broto de feijão,31;
Brunidor [instrumento dentário],10;
Bucha de borracha para automóvel,12;
Bucha de fibra para fixar parafuso,20;
Bucha metálica para fixar parafuso e grampo,6;
Bucho comestível,29;
Bufê [mobiliário],20;
Bule de chá,21;
adaptável a um trator, e destinado a escavar e deslocar, a pequenas distâncias,,7;
Buquê artificial,26;
Buquê natural,31;
Bureau [escrivaninha com gaveta],20;
Butano [gás],4;
Button [ing.],14;
"Buzina [instrumento musical; corno, trompa],15";
Buzina de caça [corneta/apito],9;
Cabeça de cachimbo,34;
Cabeçote [parte de motor],7;
Cabeçote de máquina de costura doméstica ou industrial,7;
Cabeçote para impressora industrial do tipo térmico,7;
Cabeleira [peruca],26;
Cabine de distribuição de eletricidade,9;
Cabo com revestimento de chumbo para corrente contínua,9;
Cabo de aço para ancorar plataforma de petróleo,6;
Cabo de aço para fazer sondagem em poço de petróleo,6;
Cabo de aço para lançar rede de pesca [arrastão],6;
Cabo de aço para rebocar plataforma de petróleo,6;
Cabo de taco de golfe,28;
Cabo e fio blindado não elétrico,6;
Cabo elétrico de controle para elevador,9;
Cabo manual para cortar [ferramenta],8;
Cabo metálico para vassoura e rodo,6;
Cabo para aspirador de pó [parte do aparelho doméstico],7;
Cabo para bateria [eletricidade],9;
Cabo para enxada [metálico],6;
Cabo para enxada [não metálico],20;
Cabos de embreagem para automóveis,12;
onde há uma roldana para apoiar o cabo, e que serve para levantar materiais, nas,7;
Caçamba para veículo,12;
Cacau em grão,31;
Cacau em pó,30;
Cadarço para roupa,26;
Cadaste [roda de proa],12;
Cadeira de armar para praia e camping,20;
Cadeira de balanço,20;
Cadeira de roda motorizada ou não para invalidez temporária ou permanente,12;
Cadeira episcopal móvel [faldistório; facistol],20
Cadeira para bebê,20;
Cadeira para transportar bebê em veículo,12;
Cadeiras ergonômicas para aplicação, por terceiros, de massagem,20;
Caderneta de nota,16;
Caderno de caligrafia,16;
Caderno escolar,16;
Caderno para música,16;
Café em grão,30;
Café em pó,30;
Café solúvel,30;
Cafta,29;
Caiaque,12;
Caibro para construção,19;
Caipifruta,33;
Caipirinha,33;
Caipissaquê,33;
Caipivodka [caipirosca],33;
Cais metálico de embarque,6;
Cais não metálico de embarque,19;
Caixa [estojo] para cachimbo,34;
Caixa [estojo] para ferramenta [cheia],8;
Caixa [estojo] para forno de microondas,11;
Caixa [estojo] para guardar lentes fotográficas [objetivas],9;
Caixa [estojo] para monitor de micro,9;
Caixa [estojo] para telefone celular,9;
Caixa d'água [reservatório para abastecimento],19;
Caixa de escapamento para motor,7;
Caixa de macho [molde/fundição],6;
Caixa de papelão específica para descarte de material médico-hospitalar,10;
Caixa de som,9;
Caixa esterilizada para termômetro clínico,10;
Caixa forte metálico [cofre],6;
Caixa para conservar água gelada de aço inoxidável [recipiente térmico],21;
Caixa protetora [estojo] para caixa de sabão em pó,21;
Caixão metálico para construção subaquática,6;
Caixão não metálico para construção subaquática,19;
Caixilho de madeira,19;
Caixilho de rolo para aparelho fotográfico,9;
Caju fresco,31;
Cajuína,32;
Cajuzinho [doce],30;
Calça para equitação,25;
Calçado esportivo,25;
Calçado para boneca,28;
Calçado para uso profissional,25;
Calcador de tabaco,34;
Calçados para snowboarding,25;
Calção para banho,25;
Calcário,19;
Caldeira [estrutura],19;
Caldeira [parte de máquina],7;
Caldeira absorvedora-evaporadora [máquina],11;
Caldo de ave para cozinha,29;
Caldo de carne para cozinha,29;
Caldo de fruto do mar para cozinha,29;
Caldo de legume para cozinha,29;
Caldo de peixe para cozinha,29;
Calibrador de célula para uso com gravador,9;
Calibrador de ovo,9;
Cálice,21;
Cama com dispositivo especial de enfermagem,10;
Cama de armar para camping,20;
Cama guarda-roupa,20;
Cama para animal,20;
Cama utilizada no bronzeamento artificial [aparelho],11;
Cama-beliche,20;
Cama-mesa [mobiliário],20;
Camafeu [broche],14;
Câmara de pressão utilizada em lavadoras e máquinas de lavar,7;
Câmara-de-ar para ciclo,12;
Camarão em conserva,29;
Camarão vivo,31;
Câmbio [componente de veículo],12;
Cambraia [tecido],24;
Câmera métrica [câmera fotogramétrica],9;
Caminhão-guindaste,12;
Camisa de segurança para charuto ou cigarro,34;
Camisa incandescente para lampião,11;
"Camisa para máquina [envoltório ou revestimento externo, solto de, por exemplo,um tubo ou cilindro de motor de combustão interna],7";
Camisa para militar,25;
Camisa para motor,7;
Camiseiro [mobiliário],20;
Camisola,25;
Camisola hospitalar para pacientes,10;
Camomila para infusão não medicinal,30;
Campainhas para guidões de veículos,12;
Campainha de mesa [sino metálico de mão],6;
Campainha para árvore de Natal [sino],28;
Camurça [couro de cabra],18;
Cana da Índia [fibra],22;
Canapé [pequena fatia de pão com iguarias],30;
Candeeiro,11;
Candela [pequeno aparelho de iluminação],11;
Candelabro elétrico,11;
Candelabro não elétrico,21;
Caneleira com peso,28;
Canelone [massa alimentícia],30;
Caneta lanterna [caneta multifuncional],16;
Caneta para desenho técnico,16;
Caneta relógio [caneta multifuncional],16;
Canga,25;
Cânhamo em bruto [fibra],22;
Canhão [arma],13;
Caniço de pesca,28;
Canjica [milho branco],30;
Canjica [mingau doce à base de milho branco],30;
Cano de cimento ou faiança,19;
Cano de descarga para veículo,12;
Canoa,12;
Cantoneira [mobiliário],20;
Cânula para o ouvido,10;
Cânula traqueal,10;
Canutilho [miçanga],26;
Capa de papel para assento de vaso sanitário,16;
Capa de papel para disco,16;
Capa de tecido para prancha de surf e pé de pato,28;
Capa para escova de dente,21;
Capa para raquete de tênis,28;
Capa plástica para encadernação ou para disco,16;
Capa protetora feita de tecido antitérmico para ferro de passar,8;
Capacete aquecedor para ondulação do cabelo,11;
Capacete de bombeiro,9;
Capacete de proteção para motociclista,9;
Capas [estojos] de CD e DVD,9;
Capeletti [massa alimentícia],30;
Capim [ração animal],31;
Capim-limão [capim-cidreira] para infusão não medicinal,30;
Capota para veículo,12;
Cápsula de alga marinha para uso como complemento alimentar,5;
Cápsula de alga marinha para uso medicinal, terapêutico ou dietético,5;
